game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2016_128,ZAL-RED,16,REGULAR SEASON,E2016,ZAL,RED,11,8,3,22,13,10,29,12,11,20,11,9,4,3,0,4,7,7,8,10,12,13,23,38,30,47,12,35,49-74,40,61-74,12,7,7-14,12,7-26,3,28,2,21,3-0,22-50
E2016_129,RED-ULK,17,REGULAR SEASON,E2016,RED,ULK,13,5,12,10,12,2,22,4,11,20,4,8,7,3,3,2,6,0,13,5,18,2,50,25,58,15,8,18,39-42,22,47-42,7,28,59-52,30,59-59,10,4,24,8,54-44,17-21
E2016_130,DAR-BAS,17,REGULAR SEASON,E2016,DAR,BAS,9,6,9,14,14,9,28,9,11,22,7,5,7,3,4,1,3,2,12,8,18,4,53,45,64,25,10,10,17-24,12,27-24,7,38,95-80,39,95-87,15,11,38,7,95-80,6-17
E2016_131,BAR-OLY,17,REGULAR SEASON,E2016,BAR,OLY,6,4,10,9,10,10,27,10,11,27,7,4,6,3,2,2,5,1,10,4,8,3,39,28,47,22,8,30,52-56,32,60-56,9,36,64-58,40,64-67,6,5,5,25,13-7,39-44
E2016_132,UNK-BAM,17,REGULAR SEASON,E2016,UNK,BAM,2,2,12,9,7,7,31,6,6,31,9,4,10,4,2,2,3,4,11,2,8,7,42,21,28,30,8,25,30-42,28,38-42,9,20,30-33,25,30-42,6,12,39,25,59-53,30-42
E2016_133,CSK-MIL,17,REGULAR SEASON,E2016,CSK,MIL,6,4,34,7,10,7,21,10,7,24,2,7,14,9,7,8,4,0,12,12,13,4,25,76,55,9,16,10,25-9,14,41-9,9,23,59-28,25,59-37,42,0,40,0,101-59,
E2016_134,GAL-ZAL,17,REGULAR SEASON,E2016,GAL,ZAL,4,0,5,11,18,18,22,14,11,19,7,3,4,5,4,0,1,4,15,6,12,8,67,20,38,41,6,2,2-4,4,8-4,7,23,49-39,25,49-46,10,2,23,2,49-39,2-4
E2016_135,PAN-IST,17,REGULAR SEASON,E2016,PAN,IST,14,11,18,22,17,8,33,11,15,26,5,10,3,12,4,3,3,5,6,10,8,4,33,59,42,39,10,42,75-72,45,85-72,10,17,38-25,21,38-35,13,3,17,40,38-25,67-70
E2016_136,MAD-TEL,17,REGULAR SEASON,E2016,MAD,TEL,6,2,19,6,6,15,23,15,10,28,7,4,15,3,7,2,4,1,16,6,4,7,45,35,61,14,8,36,68-71,40,76-71,11,7,12-7,9,12-18,7,10,40,27,80-73,43-53
E2016_137,BAR-IST,18,REGULAR SEASON,E2016,BAR,IST,8,14,11,10,8,8,32,10,6,21,10,7,3,6,1,6,7,3,14,7,7,3,29,60,36,42,10,25,43-48,27,53-48,10,10,16-13,14,16-23,15,7,32,14,70-55,16-23
